Source : https://data.sncf.com
Thème : Régularité des TGV
Périodicité : mensuelle
Début : 2012
Fin : 2015


La régularité est calculée lors de l’arrivée du train à la dernière gare de son parcours (terminus). Ce mode de calcul, qui n’intègre pas les gares intermédiaires, propose le retard cumulé sur l’ensemble d’un trajet.
L’indicateur utilisé est celui de la « régularité composite » : un train est considéré en retard s’il arrive cinq minutes après son heure prévue pour un trajet de moins de 1h30, dix minutes pour un trajet de 1h30 à 3h,
et quinze minutes pour un trajet de plus de 3h.Un train supprimé avant 16h la veille de sa circulation ne sera pas comptabilisé. En revanche, si l’annonce de sa suppression n’a pu être faite la veille avant 16h, 
le train sera bien comptabilisé comme un train supprimé, que cette suppression soit totale ou partielle (le train a effectué qu’une partie de son parcours).

  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 | Année| Mois | Id Trajet | Id Gare de départ| Gare de départ                      | Id Gare d'arrivée| Gare d'arrivée                      | Nombre de TGV programmés | Nombre de TGV annulés | Nombre de TGV en retard|
*| 2012 | 1    | 011       | 011              | CHAMBERY CHALLES LES EAUX           | 032              | PARIS LYON                          | 266                      | 2                     | 33                     |
*| 2012 | 1    | 051       | 032              | PARIS LYON                          | 012              | DIJON VILLE                         | 471                      | 0                     | 18                     |
*| 2012 | 1    | 015       | 015              | GRENOBLE                            | 032              | PARIS LYON                          | 248                      | 1                     | 18                     |
*| 2012 | 1    | 017       | 017              | LAVAL                               | 033              | PARIS MONTPARNASSE                  | 244                      | 0                     | 23                     |
*| 2012 | 1    | 053       | 032              | PARIS LYON                          | 018              | LE CREUSOT MONTCEAU MONTCHANIN      | 208                      | 0                     | 39                     |
*| 2012 | 1    | 002       | 002              | ANGERS SAINT LAUD                   | 033              | PARIS MONTPARNASSE                  | 492                      | 3                     | 33                     |
*| 2012 | 1    | 021       | 020              | LILLE                               | 023              | MARSEILLE ST CHARLES                | 157                      | 0                     | 22                     |
*| 2012 | 1    | 024       | 021              | LYON PART DIEU                      | 023              | MARSEILLE ST CHARLES                | 612                      | 0                     | 114                    |
*| 2012 | 1    | 037       | 028              | NANTES                              | 033              | PARIS MONTPARNASSE                  | 598                      | 3                     | 31                     |
*| 2012 | 1    | 094       | 043              | STRASBOURG                          | 028              | NANTES                              | 55                       | 0                     | 9                      |
*| 2012 | 1    | 060       | 032              | PARIS LYON                          | 030              | NIMES                               | 357                      | 0                     | 39                     |
*| 2012 | 1    | 085       | 035              | PERPIGNAN                           | 032              | PARIS LYON                          | 152                      | 0                     | 13                     |
*| 2012 | 1    | 086       | 036              | POITIERS                            | 033              | PARIS MONTPARNASSE                  | 507                      | 0                     | 55                     |
*| 2012 | 1    | 043       | 031              | PARIS EST                           | 038              | REIMS                               | 253                      | 0                     | 18                     |
*| 2012 | 1    | 091       | 040              | SAINT ETIENNE CHATEAUCREUX          | 032              | PARIS LYON                          | 118                      | 0                     | 11                     |
*| 2012 | 1    | 098       | 046              | TOURS                               | 033              | PARIS MONTPARNASSE                  | 212                      | 0                     | 28                     |
*| 2012 | 1    | 081       | 034              | PARIS NORD                          | 005              | ARRAS                               | 377                      | 0                     | 26                     |
*| 2012 | 1    | 067       | 033              | PARIS MONTPARNASSE                  | 009              | BORDEAUX ST JEAN                    | 630                      | 0                     | 43                     |
*| 2012 | 1    | 068       | 033              | PARIS MONTPARNASSE                  | 010              | BREST                               | 192                      | 0                     | 6                      |
